temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,photon_energy_keV,rosseland_multigroup_cm2_g,planck_multigroup_cm2_g
0.001,0.00059948,0.00059948,false,0.11322,3048.8,3051.6
0.001,0.00059948,0.00059948,false,0.16791,908.75,909.18
0.001,0.00059948,0.00059948,false,0.24902,261.92,261.82
0.001,0.00059948,0.00059948,false,0.36932,72.39,72.237
0.001,0.00059948,0.00059948,false,0.54772,20.029,19.87
0.001,0.00059948,0.00059948,false,0.81231,5.7144,5.5551
0.001,0.00059948,0.00059948,false,1.2047,1.5007,1.3416
0.001,0.00059948,0.00059948,false,1.7867,0.53671,0.37817
0.001,0.00059948,0.00059948,false,2.6497,0.25584,0.09814
0.001,0.00059948,0.00059948,false,3.9297,0.18193,0.02546
0.001,0.00059948,0.00059948,false,5.828,0.16128,0.0066024
0.001,0.00059948,0.00059948,false,8.6433,0.15382,0.0017136
0.001,0.00059948,0.00059948,false,12.819,0.14888,0.00044452
0.001,0.00059948,0.00059948,false,19.011,0.14345,0.00011532
0.001,0.00059948,0.00059948,false,28.194,0.13644,0.000029916
0.001,0.00059948,0.00059948,false,41.814,0.12792,0.0000078678
0.001,0.00059948,0.00059948,false,62.013,0.11661,0.000002028
0.001,0.00059948,0.00059948,false,91.969,0.10311,5.2667e-7
0.001,0.00059948,0.00059948,false,136.4,0.087991,1.3886e-7
0.001,0.00059948,0.00059948,false,202.28,0.072277,3.7683e-8
0.001,0.00070548,0.00070548,false,0.001,2388.9,2416.8
0.001,0.00070548,0.00070548,false,0.0014831,2511.9,4305
0.001,0.00070548,0.00070548,false,0.0021995,1852.8,1927.9
0.001,0.00070548,0.00070548,false,0.003262,958.88,1019.2
0.001,0.00070548,0.00070548,false,0.0048377,559.87,571.61
0.001,0.00070548,0.00070548,false,0.0071746,1163.6,1238200
0.001,0.00070548,0.00070548,false,0.01064,371900,1076700
0.001,0.00070548,0.00070548,false,0.01578,811110,847910
0.001,0.00070548,0.00070548,false,0.023403,296480,302890
0.001,0.00070548,0.00070548,false,0.034709,100210,101190
0.001,0.00070548,0.00070548,false,0.051475,32971,33149
0.001,0.00070548,0.00070548,false,0.076341,10243,10263
0.001,0.00070548,0.00070548,false,0.11322,3049.2,3052.1
0.001,0.00070548,0.00070548,false,0.16791,908.88,909.31
0.001,0.00070548,0.00070548,false,0.24902,261.95,261.85
0.001,0.00070548,0.00070548,false,0.36932,72.4,72.247
0.001,0.00070548,0.00070548,false,0.54772,20.032,19.873
0.001,0.00070548,0.00070548,false,0.81231,5.7152,5.5558
0.001,0.00070548,0.00070548,false,1.2047,1.5009,1.3418
0.001,0.00070548,0.00070548,false,1.7867,0.53676,0.37823
0.001,0.00070548,0.00070548,false,2.6497,0.25586,0.098154
0.001,0.00070548,0.00070548,false,3.9297,0.18194,0.025464
0.001,0.00070548,0.00070548,false,5.828,0.16129,0.0066034
0.001,0.00070548,0.00070548,false,8.6433,0.15382,0.0017138
0.001,0.00070548,0.00070548,false,12.819,0.14889,0.00044459
0.001,0.00070548,0.00070548,false,19.011,0.14345,0.00011533
0.001,0.00070548,0.00070548,false,28.194,0.13644,0.00002992
0.001,0.00070548,0.00070548,false,41.814,0.12792,0.0000078689
0.001,0.00070548,0.00070548,false,62.013,0.11661,0.0000020283
0.001,0.00070548,0.00070548,false,91.969,0.10311,5.2674e-7
0.001,0.00070548,0.00070548,false,136.4,0.087991,1.3888e-7
0.001,0.00070548,0.00070548,false,202.28,0.072277,3.7688e-8
