temperature_keV,density_requested_g_cm3,density_used_g_cm3,density_was_clipped,rosseland_cm2_g,planck_cm2_g,free_electrons,avg_sq_free_electrons
0.0015,0.057224,0.057224,false,67934,295240,0.018258,0.018258
0.0015,0.067342,0.067342,false,71473,299290,0.018442,0.018442
0.0015,0.079248,0.079248,false,75258,303770,0.018658,0.018658
0.0015,0.09326,0.09326,false,79014,308670,0.018913,0.018913
0.0015,0.10975,0.10975,false,81588,313980,0.019213,0.019213
0.0015,0.12915,0.12915,false,89173,333360,0.020395,0.020395
0.0015,0.15199,0.15199,false,104280,362730,0.022311,0.022311
0.0015,0.17886,0.17886,false,121370,394120,0.024565,0.024565
0.0015,0.21049,0.21049,false,140560,427130,0.027218,0.027218
0.0015,0.24771,0.24771,false,181110,489340,0.031518,0.031518
0.0015,0.29151,0.29151,false,230610,554250,0.036791,0.036791
0.0015,0.34305,0.34305,false,286170,613500,0.042996,0.042996
0.0015,0.4037,0.4037,false,368280,693060,0.052896,0.052896
0.0015,0.47508,0.47508,false,455110,753300,0.064766,0.064766
0.0015,0.55908,0.55908,false,597180,832430,0.087223,0.087223
0.0015,0.65793,0.65793,false,765340,900200,0.12574,0.12574
0.0015,0.77426,0.77426,false,921280,968570,0.22151,0.22151
0.0015,0.91116,0.91116,false,871470,921970,0.37648,0.37648
0.0015,1.0723,1.0723,false,715100,746360,0.53558,0.53558
0.0015,1.2619,1.2619,false,533600,552930,0.69837,0.69837
0.0015,1.485,1.485,false,367480,379320,0.85132,0.85132
0.0015,1.7475,1.7475,false,263600,270940,0.93803,0.93803
0.0015,2.0565,2.0565,false,203930,208930,0.97564,0.97564
0.0015,2.4201,2.4201,false,165100,168570,0.99779,0.99779
0.0015,2.848,2.848,false,144790,147430,0.99916,0.99916
0.0015,3.3516,3.3516,false,127020,129000,0.99999,0.99999
0.0015,3.9442,3.9442,false,111750,113260,1,1
0.0015,4.6416,4.6416,false,97966,99085,1,1
0.0015,5.4623,5.4623,false,85519,86338,1,1
0.0015,6.4281,6.4281,false,73345,73936,1,1
0.0015,7.5646,7.5646,false,63248,63680,1,1
0.0015,8.9022,8.9022,false,54899,55225,1,1
0.0015,10.476,10.476,false,47618,47891,1,1
0.0015,12.328,12.328,false,41280,41477,1,1
0.0015,14.508,14.508,false,36180,36329,1,1
0.0015,17.074,17.074,false,31802,31914,1,1
0.0015,20.092,20.092,false,27933,28019,1,1
0.0015,23.645,23.645,false,24659,24725,1,1
0.0015,27.826,27.826,false,21617,21669,1,1
0.0015,32.745,32.745,false,18658,18699,1,1
0.0015,38.535,38.535,false,15952,15984,1,1
0.0015,45.349,45.349,false,13460,13485,1,1
0.0015,53.367,53.367,false,11555,11573,1,1
0.0015,62.803,62.803,false,9930.4,9943.8,1,1
0.0015,73.907,73.907,false,8600.9,8610.1,1,1
0.0015,86.975,86.975,false,7590.1,7597.1,1,1
0.0015,102.35,102.35,false,6810.4,6815.9,1,1
0.0015,120.45,120.45,false,5880.6,5884.8,1,1
0.0015,141.75,141.75,false,5147.1,5150.4,1,1
0.0015,166.81,166.81,false,4473.4,4475.9,1,1
0.0015,196.3,196.3,false,3777.3,3779.1,1,1
0.0015,231.01,231.01,false,3238.8,3240.2,1,1
0.0015,271.86,271.86,false,2742.7,2743.7,1,1
0.0015,319.93,319.93,false,2336.9,2337.7,1,1
0.0015,376.49,376.49,false,2004.5,2005.1,1,1
0.0015,443.06,387.24,true,1932.8,1933.3,1,1
0.0015,521.4,387.24,true,1932.8,1933.3,1,1
0.0015,613.59,387.24,true,1932.8,1933.3,1,1
0.0015,722.08,387.24,true,1932.8,1933.3,1,1
0.0015,849.75,387.24,true,1932.8,1933.3,1,1
0.0015,1000,387.24,true,1932.8,1933.3,1,1
0.002,0.0001,0.0001,false,16989,494260,0.53109,0.53109
0.002,0.00011768,0.00011768,false,18630,531380,0.49675,0.49675
0.002,0.00013849,0.00013849,false,20542,575070,0.45633,0.45633
0.002,0.00016298,0.00016298,false,21720,594660,0.43465,0.43465
0.002,0.00019179,0.00019179,false,22459,598440,0.42482,0.42482
0.002,0.0002257,0.0002257,false,23321,602880,0.41325,0.41325
0.002,0.00026561,0.00026561,false,24329,608110,0.39964,0.39964
0.002,0.00031257,0.00031257,false,25508,614270,0.38362,0.38362
0.002,0.00036784,0.00036784,false,26885,621520,0.36476,0.36476
0.002,0.00043288,0.00043288,false,28496,630050,0.34257,0.34257
0.002,0.00050941,0.00050941,false,30380,640090,0.31646,0.31646
0.002,0.00059948,0.00059948,false,32585,651910,0.28573,0.28573
0.002,0.00070548,0.00070548,false,34750,662710,0.25782,0.25782
0.002,0.00083022,0.00083022,false,35908,665050,0.25237,0.25237
0.002,0.00097701,0.00097701,false,37262,667800,0.24596,0.24596
0.002,0.0011498,0.0011498,false,38847,671040,0.23842,0.23842
0.002,0.001353,0.001353,false,40702,674850,0.22954,0.22954
0.002,0.0015923,0.0015923,false,42870,679330,0.21909,0.21909
0.002,0.0018738,0.0018738,false,45406,684610,0.20679,0.20679
0.002,0.0022051,0.0022051,false,48371,690830,0.19232,0.19232
0.002,0.002595,0.002595,false,51838,698160,0.17529,0.17529
0.002,0.0030539,0.0030539,false,55892,706800,0.15525,0.15525
0.002,0.0035938,0.0035938,false,58959,706330,0.14617,0.14617
0.002,0.0042292,0.0042292,false,61699,700350,0.14288,0.14288
0.002,0.004977,0.004977,false,64908,693300,0.13901,0.13901
0.002,0.005857,0.005857,false,68664,685000,0.13446,0.13446
0.002,0.0068926,0.0068926,false,73058,675230,0.12911,0.12911
